Περιφερειακή Ενότητα,Σύνολο εμβολιασμών,Σύνολο 1ης δόσης,Σύνολο 2ης δόσης
ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,200.198  (+3.808 την 18/03/2021),129.695  (+2.787 την 18/03/2021),70.503  (+1.021 την 18/03/2021)
ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,182.131  (+4.362 την 18/03/2021),126.310  (+1.724 την 18/03/2021),55.821  (+2.638 την 18/03/2021)
ΘΕΣΣΑΛΟΝΙΚΗΣ,153.191  (+3.565 την 18/03/2021),103.493  (+1.832 την 18/03/2021),49.698  (+1.733 την 18/03/2021)
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,55.278  (+1.318 την 18/03/2021),36.713  (+1.046 την 18/03/2021),18.565  (+272 την 18/03/2021)
ΠΕΙΡΑΙΩΣ,55.075  (+1.450 την 18/03/2021),38.137  (+963 την 18/03/2021),16.938  (+487 την 18/03/2021)
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,35.543  (+838 την 18/03/2021),25.455  (+749 την 18/03/2021),10.088  (+89 την 18/03/2021)
ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,33.667  (+848 την 18/03/2021),23.829  (+626 την 18/03/2021),9.838  (+222 την 18/03/2021)
ΗΡΑΚΛΕΙΟΥ,33.115  (+749 την 18/03/2021),22.153  (+471 την 18/03/2021),10.962  (+278 την 18/03/2021)
ΑΧΑΪΑΣ,32.372  (+733 την 18/03/2021),21.617  (+618 την 18/03/2021),10.755  (+115 την 18/03/2021)
ΛΑΡΙΣΑΣ,27.424  (+537 την 18/03/2021),18.680  (+505 την 18/03/2021),8.744  (+32 την 18/03/2021)
ΙΩΑΝΝΙΝΩΝ,24.827  (+489 την 18/03/2021),15.733  (+313 την 18/03/2021),9.094  (+176 την 18/03/2021)
ΧΑΝΙΩΝ,22.494  (+327 την 18/03/2021),15.226  (+267 την 18/03/2021),7.268  (+60 την 18/03/2021)
ΕΥΒΟΙΑΣ,22.455  (+493 την 18/03/2021),15.644  (+360 την 18/03/2021),6.811  (+133 την 18/03/2021)
ΕΒΡΟΥ,19.497  (+415 την 18/03/2021),13.089  (+221 την 18/03/2021),6.408  (+194 την 18/03/2021)
ΜΑΓΝΗΣΙΑΣ,17.882  (+463 την 18/03/2021),12.568  (+335 την 18/03/2021),5.314  (+128 την 18/03/2021)
ΠΕΛΛΑΣ,17.810  (+350 την 18/03/2021),12.092  (+306 την 18/03/2021),5.718  (+44 την 18/03/2021)
ΜΕΣΣΗΝΙΑΣ,16.765  (+313 την 18/03/2021),11.051  (+261 την 18/03/2021),5.714  (+52 την 18/03/2021)
ΤΡΙΚΑΛΩΝ,16.618  (+367 την 18/03/2021),11.042  (+283 την 18/03/2021),5.576  (+84 την 18/03/2021)
ΚΟΖΑΝΗΣ,16.534  (+380 την 18/03/2021),11.315  (+274 την 18/03/2021),5.219  (+106 την 18/03/2021)
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,16.299  (+342 την 18/03/2021),11.658  (+292 την 18/03/2021),4.641  (+50 την 18/03/2021)
ΚΑΡΔΙΤΣΑΣ,16.230  (+277 την 18/03/2021),11.705  (+238 την 18/03/2021),4.525  (+39 την 18/03/2021)
ΗΜΑΘΙΑΣ,15.412  (+364 την 18/03/2021),10.096  (+261 την 18/03/2021),5.316  (+103 την 18/03/2021)
ΣΕΡΡΩΝ,15.386  (+336 την 18/03/2021),11.064  (+176 την 18/03/2021),4.322  (+160 την 18/03/2021)
ΦΘΙΩΤΙΔΑΣ,14.021  (+368 την 18/03/2021),9.528  (+161 την 18/03/2021),4.493  (+207 την 18/03/2021)
ΚΑΒΑΛΑΣ,13.943  (+362 την 18/03/2021),8.964  (+223 την 18/03/2021),4.979  (+139 την 18/03/2021)
ΗΛΕΙΑΣ,13.798  (+348 την 18/03/2021),9.676  (+266 την 18/03/2021),4.122  (+82 την 18/03/2021)
ΒΟΙΩΤΙΑΣ,13.787  (+269 την 18/03/2021),10.473  (+174 την 18/03/2021),3.314  (+95 την 18/03/2021)
ΛΑΣΙΘΙΟΥ,12.758  (+170 την 18/03/2021),8.327  (+106 την 18/03/2021),4.431  (+64 την 18/03/2021)
