Περιφερειακή Ενότητα,Σύνολο εμβολιασμών,Σύνολο 1ης δόσης,Σύνολο 2ης δόσης
ΕΥΒΟΙΑΣ,20.421  (+521 την 12/03/2021),14.339  (+354 την 12/03/2021),6.082  (+167 την 12/03/2021)
ΕΒΡΟΥ,17.742  (+444 την 12/03/2021),12.204  (+320 την 12/03/2021),5.538  (+124 την 12/03/2021)
ΠΕΛΛΑΣ,16.289  (+419 την 12/03/2021),10.751  (+327 την 12/03/2021),5.538  (+92 την 12/03/2021)
ΜΑΓΝΗΣΙΑΣ,16.021  (+484 την 12/03/2021),11.221  (+383 την 12/03/2021),4.800  (+101 την 12/03/2021)
ΜΕΣΣΗΝΙΑΣ,15.420  (+355 την 12/03/2021),10.187  (+200 την 12/03/2021),5.233  (+155 την 12/03/2021)
ΤΡΙΚΑΛΩΝ,15.166  (+352 την 12/03/2021),10.087  (+180 την 12/03/2021),5.079  (+172 την 12/03/2021)
ΚΑΡΔΙΤΣΑΣ,14.987  (+342 την 12/03/2021),10.646  (+226 την 12/03/2021),4.341  (+116 την 12/03/2021)
ΚΟΖΑΝΗΣ,14.930  (+429 την 12/03/2021),10.109  (+341 την 12/03/2021),4.821  (+88 την 12/03/2021)
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,14.884  (+377 την 12/03/2021),10.622  (+272 την 12/03/2021),4.262  (+105 την 12/03/2021)
ΣΕΡΡΩΝ,13.978  (+348 την 12/03/2021),10.318  (+200 την 12/03/2021),3.660  (+148 την 12/03/2021)
ΗΜΑΘΙΑΣ,13.955  (+383 την 12/03/2021),9.235  (+230 την 12/03/2021),4.720  (+153 την 12/03/2021)
ΚΑΒΑΛΑΣ,12.562  (+310 την 12/03/2021),8.072  (+203 την 12/03/2021),4.490  (+107 την 12/03/2021)
ΒΟΙΩΤΙΑΣ,12.561  (+379 την 12/03/2021),9.746  (+297 την 12/03/2021),2.815  (+82 την 12/03/2021)
ΦΘΙΩΤΙΔΑΣ,12.555  (+379 την 12/03/2021),8.718  (+250 την 12/03/2021),3.837  (+129 την 12/03/2021)
ΗΛΕΙΑΣ,12.453  (+351 την 12/03/2021),8.673  (+303 την 12/03/2021),3.780  (+48 την 12/03/2021)
ΛΑΣΙΘΙΟΥ,11.988  (+255 την 12/03/2021),7.878  (+189 την 12/03/2021),4.110  (+66 την 12/03/2021)
ΚΟΡΙΝΘΙΑΣ,11.331  (+289 την 12/03/2021),8.104  (+219 την 12/03/2021),3.227  (+70 την 12/03/2021)
ΠΙΕΡΙΑΣ,10.971  (+291 την 12/03/2021),6.813  (+209 την 12/03/2021),4.158  (+82 την 12/03/2021)
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,10.881  (+207 την 12/03/2021),7.874  (+194 την 12/03/2021),3.007  (+13 την 12/03/2021)
ΧΑΛΚΙΔΙΚΗΣ,10.551  (+324 την 12/03/2021),8.021  (+273 την 12/03/2021),2.530  (+51 την 12/03/2021)
ΚΕΡΚΥΡΑΣ,10.202  (+294 την 12/03/2021),6.854  (+250 την 12/03/2021),3.348  (+44 την 12/03/2021)
ΛΑΚΩΝΙΑΣ,10.075  (+209 την 12/03/2021),6.982  (+81 την 12/03/2021),3.093  (+128 την 12/03/2021)
ΚΙΛΚΙΣ,10.033  (+252 την 12/03/2021),6.952  (+204 την 12/03/2021),3.081  (+48 την 12/03/2021)
ΔΡΑΜΑΣ,9.946  (+263 την 12/03/2021),6.653  (+168 την 12/03/2021),3.293  (+95 την 12/03/2021)
ΑΡΓΟΛΙΔΑΣ,9.733  (+223 την 12/03/2021),6.730  (+184 την 12/03/2021),3.003  (+39 την 12/03/2021)
ΡΕΘΥΜΝΟΥ,9.556  (+268 την 12/03/2021),7.039  (+228 την 12/03/2021),2.517  (+40 την 12/03/2021)
ΑΡΚΑΔΙΑΣ,9.546  (+231 την 12/03/2021),6.718  (+221 την 12/03/2021),2.828  (+10 την 12/03/2021)
ΡΟΔΟΥ,8.926  (+336 την 12/03/2021),6.244  (+248 την 12/03/2021),2.682  (+88 την 12/03/2021)
ΑΡΤΑΣ,8.299  (+161 την 12/03/2021),5.061  (+63 την 12/03/2021),3.238  (+98 την 12/03/2021)
ΞΑΝΘΗΣ,8.024  (+208 την 12/03/2021),5.564  (+148 την 12/03/2021),2.460  (+60 την 12/03/2021)
ΛΕΣΒΟΥ,7.763  (+200 την 12/03/2021),5.166  (+195 την 12/03/2021),2.597  (+5 την 12/03/2021)
ΡΟΔΟΠΗΣ,7.281  (+213 την 12/03/2021),4.929  (+119 την 12/03/2021),2.352  (+94 την 12/03/2021)
ΘΕΣΠΡΩΤΙΑΣ,7.190  (+190 την 12/03/2021),5.001  (+176 την 12/03/2021),2.189  (+14 την 12/03/2021)
ΚΑΣΤΟΡΙΑΣ,6.804  (+213 την 12/03/2021),4.727  (+162 την 12/03/2021),2.077  (+51 την 12/03/2021)
ΦΛΩΡΙΝΑΣ,6.115  (+180 την 12/03/2021),4.381  (+128 την 12/03/2021),1.734  (+52 την 12/03/2021)
ΧΙΟΥ,6.078  (+151 την 12/03/2021),4.172  (+123 την 12/03/2021),1.906  (+28 την 12/03/2021)
ΠΡΕΒΕΖΑΣ,5.763  (+188 την 12/03/2021),4.547  (+134 την 12/03/2021),1.216  (+54 την 12/03/2021)
ΚΕΦΑΛΛΗΝΙΑΣ,5.624  (+87 την 12/03/2021),3.980  (+79 την 12/03/2021),1.644  (+8 την 12/03/2021)
ΝΗΣΩΝ,5.156  (+218 την 12/03/2021),3.426  (+203 την 12/03/2021),1.730  (+15 την 12/03/2021)
ΛΕΥΚΑΔΑΣ,4.666  (+79 την 12/03/2021),3.203  (+67 την 12/03/2021),1.463  (+12 την 12/03/2021)
ΚΩ,4.054  (+193 την 12/03/2021),3.115  (+188 την 12/03/2021),939  (+5 την 12/03/2021)
ΓΡΕΒΕΝΩΝ,4.008  (+115 την 12/03/2021),2.754  (+69 την 12/03/2021),1.254  (+46 την 12/03/2021)
ΖΑΚΥΝΘΟΥ,3.688  (+76 την 12/03/2021),2.345  (+69 την 12/03/2021),1.343  (+7 την 12/03/2021)
ΦΩΚΙΔΑΣ,3.460  (+73 την 12/03/2021),2.415  (+32 την 12/03/2021),1.045  (+41 την 12/03/2021)
ΣΑΜΟΥ,3.073  (+64 την 12/03/2021),2.157  (+54 την 12/03/2021),916  (+10 την 12/03/2021)
ΣΥΡΟΥ,2.221  (+60 την 12/03/2021),1.343  (+51 την 12/03/2021),878  (+9 την 12/03/2021)
ΕΥΡΥΤΑΝΙΑΣ,2.216  (+57 την 12/03/2021),1.538  (+55 την 12/03/2021),678  (+2 την 12/03/2021)
ΚΑΛΥΜΝΟΥ,2.165  (+11 την 12/03/2021),1.451  (+5 την 12/03/2021),714  (+6 την 12/03/2021)
ΙΚΑΡΙΑΣ,2.106  (+35 την 12/03/2021),1.424  (+29 την 12/03/2021),682  (+6 την 12/03/2021)
ΛΗΜΝΟΥ,2.057  (+48 την 12/03/2021),1.280  (+47 την 12/03/2021),777  (+1 την 12/03/2021)
ΝΑΞΟΥ,1.300  (+24 την 12/03/2021),857  (+22 την 12/03/2021),443  (+2 την 12/03/2021)
ΘΗΡΑΣ,1.211  (+30 την 12/03/2021),833  (+22 την 12/03/2021),378  (+8 την 12/03/2021)
ΘΑΣΟΥ,874  (+6 την 12/03/2021),442  (+1 την 12/03/2021),432  (+5 την 12/03/2021)
ΜΗΛΟΥ,746  (+59 την 12/03/2021),460  (+8 την 12/03/2021),286  (+51 την 12/03/2021)
ΚΑΡΠΑΘΟΥ,739  (+12 την 12/03/2021),477  (+5 την 12/03/2021),262  (+7 την 12/03/2021)
ΣΠΟΡΑΔΩΝ,732  (+48 την 12/03/2021),479  (+42 την 12/03/2021),253  (+6 την 12/03/2021)
ΙΘΑΚΗΣ,726  (+73 την 12/03/2021),646  (+72 την 12/03/2021),80  (+1 την 12/03/2021)
ΠΑΡΟΥ,618  (+12 την 12/03/2021),310,308  (+12 την 12/03/2021)
ΤΗΝΟΥ,611  (+12 την 12/03/2021),319  (+4 την 12/03/2021),292  (+8 την 12/03/2021)
ΑΝΔΡΟΥ,585  (+9 την 12/03/2021),306  (+1 την 12/03/2021),279  (+8 την 12/03/2021)
ΜΥΚΟΝΟΥ,337  (+6 την 12/03/2021),183  (+2 την 12/03/2021),154  (+4 την 12/03/2021)
ΚΕΑΣ-ΚΥΘΝΟΥ,158  (+24 την 12/03/2021),120  (+24 την 12/03/2021),38
