Περιφερειακή Ενότητα,Σύνολο εμβολιασμών,Σύνολο 1ης δόσης,Σύνολο 2ης δόσης
ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,182.735  (+4.753 την 12/03/2021),117.507  (+3.628 την 12/03/2021),65.228  (+1.125 την 12/03/2021)
ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,168.102  (+3.854 την 12/03/2021),120.379  (+2.198 την 12/03/2021),47.723  (+1.656 την 12/03/2021)
ΘΕΣΣΑΛΟΝΙΚΗΣ,139.279  (+2.964 την 12/03/2021),95.343  (+2.214 την 12/03/2021),43.936  (+750 την 12/03/2021)
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,49.842  (+1.380 την 12/03/2021),32.226  (+1.185 την 12/03/2021),17.616  (+195 την 12/03/2021)
ΠΕΙΡΑΙΩΣ,49.258  (+1.444 την 12/03/2021),33.886  (+1.188 την 12/03/2021),15.372  (+256 την 12/03/2021)
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,32.164  (+948 την 12/03/2021),22.302  (+894 την 12/03/2021),9.862  (+54 την 12/03/2021)
ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,30.243  (+938 την 12/03/2021),21.474  (+708 την 12/03/2021),8.769  (+230 την 12/03/2021)
ΗΡΑΚΛΕΙΟΥ,30.107  (+704 την 12/03/2021),20.207  (+484 την 12/03/2021),9.900  (+220 την 12/03/2021)
ΑΧΑΪΑΣ,29.395  (+729 την 12/03/2021),19.314  (+583 την 12/03/2021),10.081  (+146 την 12/03/2021)
ΛΑΡΙΣΑΣ,25.227  (+504 την 12/03/2021),16.866  (+303 την 12/03/2021),8.361  (+201 την 12/03/2021)
ΙΩΑΝΝΙΝΩΝ,22.867  (+485 την 12/03/2021),14.569  (+347 την 12/03/2021),8.298  (+138 την 12/03/2021)
ΧΑΝΙΩΝ,20.757  (+541 την 12/03/2021),13.880  (+505 την 12/03/2021),6.877  (+36 την 12/03/2021)
