Περιφερειακή Ενότητα,Σύνολο εμβολιασμών,Σύνολο 1ης δόσης,Σύνολο 2ης δόσης
ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,168.310  (+4.431 την 09/03/2021),106.621  (+3.538 την 09/03/2021),61.689  (+893 την 09/03/2021)
ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,155.927  (+4.112 την 09/03/2021),111.443  (+3.470 την 09/03/2021),44.484  (+642 την 09/03/2021)
ΘΕΣΣΑΛΟΝΙΚΗΣ,130.402  (+3.169 την 09/03/2021),88.624  (+2.398 την 09/03/2021),41.778  (+771 την 09/03/2021)
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,45.661  (+1.442 την 09/03/2021),28.599  (+1.218 την 09/03/2021),17.062  (+224 την 09/03/2021)
ΠΕΙΡΑΙΩΣ,44.877  (+1.374 την 09/03/2021),30.284  (+1.262 την 09/03/2021),14.593  (+112 την 09/03/2021)
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,29.122  (+1.024 την 09/03/2021),19.696  (+878 την 09/03/2021),9.426  (+146 την 09/03/2021)
ΗΡΑΚΛΕΙΟΥ,28.024  (+706 την 09/03/2021),18.665  (+564 την 09/03/2021),9.359  (+142 την 09/03/2021)
ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,27.339  (+827 την 09/03/2021),19.230  (+717 την 09/03/2021),8.109  (+110 την 09/03/2021)
ΑΧΑΪΑΣ,27.180  (+709 την 09/03/2021),17.460  (+588 την 09/03/2021),9.720  (+121 την 09/03/2021)
ΛΑΡΙΣΑΣ,23.815  (+492 την 09/03/2021),15.995  (+312 την 09/03/2021),7.820  (+180 την 09/03/2021)
ΙΩΑΝΝΙΝΩΝ,21.418  (+490 την 09/03/2021),13.614  (+328 την 09/03/2021),7.804  (+162 την 09/03/2021)
ΧΑΝΙΩΝ,19.187  (+499 την 09/03/2021),12.433  (+446 την 09/03/2021),6.754  (+53 την 09/03/2021)
ΕΥΒΟΙΑΣ,18.782  (+681 την 09/03/2021),13.023  (+623 την 09/03/2021),5.759  (+58 την 09/03/2021)
ΕΒΡΟΥ,16.433  (+447 την 09/03/2021),11.168  (+374 την 09/03/2021),5.265  (+73 την 09/03/2021)
ΠΕΛΛΑΣ,14.961  (+455 την 09/03/2021),9.696  (+349 την 09/03/2021),5.265  (+106 την 09/03/2021)
ΜΑΓΝΗΣΙΑΣ,14.596  (+484 την 09/03/2021),10.044  (+393 την 09/03/2021),4.552  (+91 την 09/03/2021)
ΜΕΣΣΗΝΙΑΣ,14.418  (+321 την 09/03/2021),9.476  (+290 την 09/03/2021),4.942  (+31 την 09/03/2021)
ΤΡΙΚΑΛΩΝ,14.137  (+380 την 09/03/2021),9.528  (+244 την 09/03/2021),4.609  (+136 την 09/03/2021)
ΚΑΡΔΙΤΣΑΣ,13.908  (+388 την 09/03/2021),9.898  (+297 την 09/03/2021),4.010  (+91 την 09/03/2021)
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,13.743  (+441 την 09/03/2021),9.747  (+360 την 09/03/2021),3.996  (+81 την 09/03/2021)
ΚΟΖΑΝΗΣ,13.647  (+429 την 09/03/2021),9.136  (+313 την 09/03/2021),4.511  (+116 την 09/03/2021)
ΣΕΡΡΩΝ,12.944  (+364 την 09/03/2021),9.566  (+293 την 09/03/2021),3.378  (+71 την 09/03/2021)
ΗΜΑΘΙΑΣ,12.822  (+364 την 09/03/2021),8.506  (+251 την 09/03/2021),4.316  (+113 την 09/03/2021)
ΚΑΒΑΛΑΣ,11.640  (+289 την 09/03/2021),7.387  (+226 την 09/03/2021),4.253  (+63 την 09/03/2021)
ΦΘΙΩΤΙΔΑΣ,11.430  (+379 την 09/03/2021),7.891  (+310 την 09/03/2021),3.539  (+69 την 09/03/2021)
ΒΟΙΩΤΙΑΣ,11.409  (+381 την 09/03/2021),8.735  (+372 την 09/03/2021),2.674  (+9 την 09/03/2021)
ΗΛΕΙΑΣ,11.386  (+351 την 09/03/2021),7.723  (+338 την 09/03/2021),3.663  (+13 την 09/03/2021)
ΛΑΣΙΘΙΟΥ,11.192  (+302 την 09/03/2021),7.212  (+266 την 09/03/2021),3.980  (+36 την 09/03/2021)
ΚΟΡΙΝΘΙΑΣ,10.425  (+338 την 09/03/2021),7.402  (+262 την 09/03/2021),3.023  (+76 την 09/03/2021)
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,10.173  (+370 την 09/03/2021),7.207  (+350 την 09/03/2021),2.966  (+20 την 09/03/2021)
ΠΙΕΡΙΑΣ,10.085  (+287 την 09/03/2021),6.169  (+193 την 09/03/2021),3.916  (+94 την 09/03/2021)
ΧΑΛΚΙΔΙΚΗΣ,9.600  (+339 την 09/03/2021),7.192  (+310 την 09/03/2021),2.408  (+29 την 09/03/2021)
ΛΑΚΩΝΙΑΣ,9.449  (+233 την 09/03/2021),6.616  (+211 την 09/03/2021),2.833  (+22 την 09/03/2021)
ΚΕΡΚΥΡΑΣ,9.293  (+347 την 09/03/2021),6.062  (+275 την 09/03/2021),3.231  (+72 την 09/03/2021)
ΚΙΛΚΙΣ,9.227  (+292 την 09/03/2021),6.261  (+281 την 09/03/2021),2.966  (+11 την 09/03/2021)
ΔΡΑΜΑΣ,9.160  (+235 την 09/03/2021),6.012  (+204 την 09/03/2021),3.148  (+31 την 09/03/2021)
ΑΡΓΟΛΙΔΑΣ,9.054  (+244 την 09/03/2021),6.143  (+209 την 09/03/2021),2.911  (+35 την 09/03/2021)
ΑΡΚΑΔΙΑΣ,8.884  (+223 την 09/03/2021),6.105  (+206 την 09/03/2021),2.779  (+17 την 09/03/2021)
ΡΕΘΥΜΝΟΥ,8.710  (+289 την 09/03/2021),6.285  (+272 την 09/03/2021),2.425  (+17 την 09/03/2021)
ΡΟΔΟΥ,8.129  (+199 την 09/03/2021),5.589  (+185 την 09/03/2021),2.540  (+14 την 09/03/2021)
ΑΡΤΑΣ,7.813  (+166 την 09/03/2021),4.814  (+122 την 09/03/2021),2.999  (+44 την 09/03/2021)
ΞΑΝΘΗΣ,7.386  (+220 την 09/03/2021),5.042  (+201 την 09/03/2021),2.344  (+19 την 09/03/2021)
ΛΕΣΒΟΥ,7.156  (+202 την 09/03/2021),4.592  (+199 την 09/03/2021),2.564  (+3 την 09/03/2021)
ΡΟΔΟΠΗΣ,6.634  (+215 την 09/03/2021),4.495  (+164 την 09/03/2021),2.139  (+51 την 09/03/2021)
ΘΕΣΠΡΩΤΙΑΣ,6.582  (+232 την 09/03/2021),4.432  (+229 την 09/03/2021),2.150  (+3 την 09/03/2021)
ΚΑΣΤΟΡΙΑΣ,6.181  (+204 την 09/03/2021),4.186  (+180 την 09/03/2021),1.995  (+24 την 09/03/2021)
ΧΙΟΥ,5.593  (+160 την 09/03/2021),3.813  (+116 την 09/03/2021),1.780  (+44 την 09/03/2021)
ΦΛΩΡΙΝΑΣ,5.539  (+201 την 09/03/2021),3.878  (+195 την 09/03/2021),1.661  (+6 την 09/03/2021)
ΚΕΦΑΛΛΗΝΙΑΣ,5.293  (+168 την 09/03/2021),3.665  (+168 την 09/03/2021),1.628
ΠΡΕΒΕΖΑΣ,5.230  (+180 την 09/03/2021),4.115  (+176 την 09/03/2021),1.115  (+4 την 09/03/2021)
ΝΗΣΩΝ,4.673  (+173 την 09/03/2021),2.996  (+167 την 09/03/2021),1.677  (+6 την 09/03/2021)
ΛΕΥΚΑΔΑΣ,4.330  (+77 την 09/03/2021),2.956  (+73 την 09/03/2021),1.374  (+4 την 09/03/2021)
ΓΡΕΒΕΝΩΝ,3.686  (+107 την 09/03/2021),2.519  (+97 την 09/03/2021),1.167  (+10 την 09/03/2021)
ΚΩ,3.678  (+124 την 09/03/2021),2.753  (+123 την 09/03/2021),925  (+1 την 09/03/2021)
ΖΑΚΥΝΘΟΥ,3.437  (+101 την 09/03/2021),2.139  (+91 την 09/03/2021),1.298  (+10 την 09/03/2021)
ΦΩΚΙΔΑΣ,3.260  (+81 την 09/03/2021),2.279  (+70 την 09/03/2021),981  (+11 την 09/03/2021)
ΣΑΜΟΥ,2.885  (+73 την 09/03/2021),1.993  (+67 την 09/03/2021),892  (+6 την 09/03/2021)
ΚΑΛΥΜΝΟΥ,2.106  (+66 την 09/03/2021),1.409  (+59 την 09/03/2021),697  (+7 την 09/03/2021)
ΣΥΡΟΥ,2.071  (+48 την 09/03/2021),1.216  (+48 την 09/03/2021),855
ΕΥΡΥΤΑΝΙΑΣ,2.061  (+54 την 09/03/2021),1.400  (+50 την 09/03/2021),661  (+4 την 09/03/2021)
ΙΚΑΡΙΑΣ,2.018  (+39 την 09/03/2021),1.349  (+39 την 09/03/2021),669
ΛΗΜΝΟΥ,1.913  (+54 την 09/03/2021),1.144  (+49 την 09/03/2021),769  (+5 την 09/03/2021)
ΝΑΞΟΥ,1.210  (+30 την 09/03/2021),777  (+29 την 09/03/2021),433  (+1 την 09/03/2021)
ΘΗΡΑΣ,1.079  (+66 την 09/03/2021),710  (+65 την 09/03/2021),369  (+1 την 09/03/2021)
ΘΑΣΟΥ,868,441,427
ΚΑΡΠΑΘΟΥ,709  (+36 την 09/03/2021),454  (+32 την 09/03/2021),255  (+4 την 09/03/2021)
ΜΗΛΟΥ,675  (+36 την 09/03/2021),449  (+36 την 09/03/2021),226
ΙΘΑΚΗΣ,629  (+48 την 09/03/2021),551  (+48 την 09/03/2021),78
ΣΠΟΡΑΔΩΝ,618  (+18 την 09/03/2021),371  (+18 την 09/03/2021),247
ΠΑΡΟΥ,606,310,296
ΤΗΝΟΥ,593,314,279
ΑΝΔΡΟΥ,558,297,261
ΜΥΚΟΝΟΥ,319,176,143
ΚΕΑΣ-ΚΥΘΝΟΥ,98  (+20 την 09/03/2021),60  (+14 την 09/03/2021),38  (+6 την 09/03/2021)
