Περιφερειακή Ενότητα,Σύνολο εμβολιασμών,Σύνολο 1ης δόσης,Σύνολο 2ης δόσης
ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,196.390  (+3.904 την 17/03/2021),126.908  (+3.074 την 17/03/2021),69.482  (+830 την 17/03/2021)
ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,177.769  (+3.426 την 17/03/2021),124.586  (+1.452 την 17/03/2021),53.183  (+1.974 την 17/03/2021)
ΘΕΣΣΑΛΟΝΙΚΗΣ,149.626  (+3.741 την 17/03/2021),101.661  (+2.085 την 17/03/2021),47.965  (+1.656 την 17/03/2021)
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,53.960  (+1.257 την 17/03/2021),35.667  (+1.128 την 17/03/2021),18.293  (+129 την 17/03/2021)
ΠΕΙΡΑΙΩΣ,53.625  (+1.418 την 17/03/2021),37.174  (+1.063 την 17/03/2021),16.451  (+355 την 17/03/2021)
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,34.705  (+823 την 17/03/2021),24.706  (+798 την 17/03/2021),9.999  (+25 την 17/03/2021)
ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,32.819  (+807 την 17/03/2021),23.203  (+562 την 17/03/2021),9.616  (+245 την 17/03/2021)
ΗΡΑΚΛΕΙΟΥ,32.366  (+784 την 17/03/2021),21.682  (+514 την 17/03/2021),10.684  (+270 την 17/03/2021)
ΑΧΑΪΑΣ,31.639  (+708 την 17/03/2021),20.999  (+525 την 17/03/2021),10.640  (+183 την 17/03/2021)
ΛΑΡΙΣΑΣ,26.887  (+552 την 17/03/2021),18.175  (+491 την 17/03/2021),8.712  (+61 την 17/03/2021)
ΙΩΑΝΝΙΝΩΝ,24.338  (+479 την 17/03/2021),15.420  (+249 την 17/03/2021),8.918  (+230 την 17/03/2021)
ΧΑΝΙΩΝ,22.167  (+410 την 17/03/2021),14.959  (+301 την 17/03/2021),7.208  (+109 την 17/03/2021)
ΕΥΒΟΙΑΣ,21.962  (+495 την 17/03/2021),15.284  (+329 την 17/03/2021),6.678  (+166 την 17/03/2021)
ΕΒΡΟΥ,19.082  (+422 την 17/03/2021),12.868  (+198 την 17/03/2021),6.214  (+224 την 17/03/2021)
ΠΕΛΛΑΣ,17.460  (+345 την 17/03/2021),11.786  (+326 την 17/03/2021),5.674  (+19 την 17/03/2021)
ΜΑΓΝΗΣΙΑΣ,17.419  (+441 την 17/03/2021),12.233  (+326 την 17/03/2021),5.186  (+115 την 17/03/2021)
ΜΕΣΣΗΝΙΑΣ,16.452  (+349 την 17/03/2021),10.790  (+236 την 17/03/2021),5.662  (+113 την 17/03/2021)
ΤΡΙΚΑΛΩΝ,16.251  (+368 την 17/03/2021),10.759  (+275 την 17/03/2021),5.492  (+93 την 17/03/2021)
ΚΟΖΑΝΗΣ,16.154  (+386 την 17/03/2021),11.041  (+318 την 17/03/2021),5.113  (+68 την 17/03/2021)
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,15.957  (+345 την 17/03/2021),11.366  (+243 την 17/03/2021),4.591  (+102 την 17/03/2021)
ΚΑΡΔΙΤΣΑΣ,15.953  (+319 την 17/03/2021),11.467  (+283 την 17/03/2021),4.486  (+36 την 17/03/2021)
ΣΕΡΡΩΝ,15.050  (+338 την 17/03/2021),10.888  (+176 την 17/03/2021),4.162  (+162 την 17/03/2021)
ΗΜΑΘΙΑΣ,15.048  (+357 την 17/03/2021),9.835  (+226 την 17/03/2021),5.213  (+131 την 17/03/2021)
