Περιφερειακή Ενότητα,Σύνολο εμβολιασμών,Σύνολο 1ης δόσης,Σύνολο 2ης δόσης
ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,177.982  (+4.848 την 11/03/2021),113.879  (+3.604 την 11/03/2021),64.103  (+1.244 την 11/03/2021)
ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,164.248  (+4.004 την 11/03/2021),118.181  (+3.170 την 11/03/2021),46.067  (+834 την 11/03/2021)
ΘΕΣΣΑΛΟΝΙΚΗΣ,136.315  (+2.914 την 11/03/2021),93.129  (+2.120 την 11/03/2021),43.186  (+794 την 11/03/2021)
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,48.462  (+1.416 την 11/03/2021),31.041  (+1.227 την 11/03/2021),17.421  (+189 την 11/03/2021)
ΠΕΙΡΑΙΩΣ,47.814  (+1.478 την 11/03/2021),32.698  (+1.194 την 11/03/2021),15.116  (+284 την 11/03/2021)
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,31.216  (+1.026 την 11/03/2021),21.408  (+848 την 11/03/2021),9.808  (+178 την 11/03/2021)
ΗΡΑΚΛΕΙΟΥ,29.403  (+686 την 11/03/2021),19.723  (+511 την 11/03/2021),9.680  (+175 την 11/03/2021)
ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,29.305  (+1.010 την 11/03/2021),20.766  (+761 την 11/03/2021),8.539  (+249 την 11/03/2021)
ΑΧΑΪΑΣ,28.666  (+750 την 11/03/2021),18.731  (+615 την 11/03/2021),9.935  (+135 την 11/03/2021)
ΛΑΡΙΣΑΣ,24.723  (+452 την 11/03/2021),16.563  (+265 την 11/03/2021),8.160  (+187 την 11/03/2021)
ΙΩΑΝΝΙΝΩΝ,22.382  (+473 την 11/03/2021),14.222  (+291 την 11/03/2021),8.160  (+182 την 11/03/2021)
ΧΑΝΙΩΝ,20.216  (+514 την 11/03/2021),13.375  (+457 την 11/03/2021),6.841  (+57 την 11/03/2021)
ΕΥΒΟΙΑΣ,19.900  (+560 την 11/03/2021),13.985  (+456 την 11/03/2021),5.915  (+104 την 11/03/2021)
ΕΒΡΟΥ,17.298  (+416 την 11/03/2021),11.884  (+331 την 11/03/2021),5.414  (+85 την 11/03/2021)
ΠΕΛΛΑΣ,15.870  (+440 την 11/03/2021),10.424  (+348 την 11/03/2021),5.446  (+92 την 11/03/2021)
ΜΑΓΝΗΣΙΑΣ,15.537  (+462 την 11/03/2021),10.838  (+374 την 11/03/2021),4.699  (+88 την 11/03/2021)
ΜΕΣΣΗΝΙΑΣ,15.065  (+311 την 11/03/2021),9.987  (+228 την 11/03/2021),5.078  (+83 την 11/03/2021)
ΤΡΙΚΑΛΩΝ,14.814  (+333 την 11/03/2021),9.907  (+168 την 11/03/2021),4.907  (+165 την 11/03/2021)
ΚΑΡΔΙΤΣΑΣ,14.645  (+359 την 11/03/2021),10.420  (+235 την 11/03/2021),4.225  (+124 την 11/03/2021)
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,14.507  (+361 την 11/03/2021),10.350  (+273 την 11/03/2021),4.157  (+88 την 11/03/2021)
ΚΟΖΑΝΗΣ,14.501  (+432 την 11/03/2021),9.768  (+308 την 11/03/2021),4.733  (+124 την 11/03/2021)
ΣΕΡΡΩΝ,13.630  (+341 την 11/03/2021),10.118  (+266 την 11/03/2021),3.512  (+75 την 11/03/2021)
ΗΜΑΘΙΑΣ,13.572  (+377 την 11/03/2021),9.005  (+251 την 11/03/2021),4.567  (+126 την 11/03/2021)
ΚΑΒΑΛΑΣ,12.252  (+316 την 11/03/2021),7.869  (+242 την 11/03/2021),4.383  (+74 την 11/03/2021)
ΒΟΙΩΤΙΑΣ,12.182  (+377 την 11/03/2021),9.449  (+335 την 11/03/2021),2.733  (+42 την 11/03/2021)
ΦΘΙΩΤΙΔΑΣ,12.176  (+377 την 11/03/2021),8.468  (+270 την 11/03/2021),3.708  (+107 την 11/03/2021)
ΗΛΕΙΑΣ,12.102  (+354 την 11/03/2021),8.370  (+307 την 11/03/2021),3.732  (+47 την 11/03/2021)
ΛΑΣΙΘΙΟΥ,11.733  (+259 την 11/03/2021),7.689  (+213 την 11/03/2021),4.044  (+46 την 11/03/2021)
ΚΟΡΙΝΘΙΑΣ,11.042  (+303 την 11/03/2021),7.885  (+234 την 11/03/2021),3.157  (+69 την 11/03/2021)
ΠΙΕΡΙΑΣ,10.680  (+300 την 11/03/2021),6.604  (+223 την 11/03/2021),4.076  (+77 την 11/03/2021)
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,10.674  (+222 την 11/03/2021),7.680  (+197 την 11/03/2021),2.994  (+25 την 11/03/2021)
ΧΑΛΚΙΔΙΚΗΣ,10.227  (+300 την 11/03/2021),7.748  (+247 την 11/03/2021),2.479  (+53 την 11/03/2021)
ΚΕΡΚΥΡΑΣ,9.908  (+298 την 11/03/2021),6.604  (+255 την 11/03/2021),3.304  (+43 την 11/03/2021)
ΛΑΚΩΝΙΑΣ,9.866  (+190 την 11/03/2021),6.901  (+92 την 11/03/2021),2.965  (+98 την 11/03/2021)
ΚΙΛΚΙΣ,9.781  (+269 την 11/03/2021),6.748  (+211 την 11/03/2021),3.033  (+58 την 11/03/2021)
ΔΡΑΜΑΣ,9.683  (+265 την 11/03/2021),6.485  (+230 την 11/03/2021),3.198  (+35 την 11/03/2021)
ΑΡΓΟΛΙΔΑΣ,9.510  (+213 την 11/03/2021),6.546  (+181 την 11/03/2021),2.964  (+32 την 11/03/2021)
ΑΡΚΑΔΙΑΣ,9.315  (+208 την 11/03/2021),6.497  (+181 την 11/03/2021),2.818  (+27 την 11/03/2021)
ΡΕΘΥΜΝΟΥ,9.288  (+288 την 11/03/2021),6.811  (+258 την 11/03/2021),2.477  (+30 την 11/03/2021)
ΡΟΔΟΥ,8.590  (+270 την 11/03/2021),5.996  (+237 την 11/03/2021),2.594  (+33 την 11/03/2021)
ΑΡΤΑΣ,8.138  (+157 την 11/03/2021),4.998  (+88 την 11/03/2021),3.140  (+69 την 11/03/2021)
ΞΑΝΘΗΣ,7.816  (+222 την 11/03/2021),5.416  (+187 την 11/03/2021),2.400  (+35 την 11/03/2021)
ΛΕΣΒΟΥ,7.563  (+205 την 11/03/2021),4.971  (+180 την 11/03/2021),2.592  (+25 την 11/03/2021)
ΡΟΔΟΠΗΣ,7.068  (+221 την 11/03/2021),4.810  (+157 την 11/03/2021),2.258  (+64 την 11/03/2021)
ΘΕΣΠΡΩΤΙΑΣ,7.000  (+208 την 11/03/2021),4.825  (+188 την 11/03/2021),2.175  (+20 την 11/03/2021)
ΚΑΣΤΟΡΙΑΣ,6.591  (+207 την 11/03/2021),4.565  (+187 την 11/03/2021),2.026  (+20 την 11/03/2021)
ΦΛΩΡΙΝΑΣ,5.935  (+190 την 11/03/2021),4.253  (+175 την 11/03/2021),1.682  (+15 την 11/03/2021)
ΧΙΟΥ,5.927  (+190 την 11/03/2021),4.049  (+122 την 11/03/2021),1.878  (+68 την 11/03/2021)
ΠΡΕΒΕΖΑΣ,5.575  (+175 την 11/03/2021),4.413  (+137 την 11/03/2021),1.162  (+38 την 11/03/2021)
ΚΕΦΑΛΛΗΝΙΑΣ,5.537  (+109 την 11/03/2021),3.901  (+101 την 11/03/2021),1.636  (+8 την 11/03/2021)
ΝΗΣΩΝ,4.938  (+137 την 11/03/2021),3.223  (+105 την 11/03/2021),1.715  (+32 την 11/03/2021)
ΛΕΥΚΑΔΑΣ,4.587  (+128 την 11/03/2021),3.136  (+55 την 11/03/2021),1.451  (+73 την 11/03/2021)
ΓΡΕΒΕΝΩΝ,3.893  (+98 την 11/03/2021),2.685  (+75 την 11/03/2021),1.208  (+23 την 11/03/2021)
ΚΩ,3.861  (+91 την 11/03/2021),2.927  (+83 την 11/03/2021),934  (+8 την 11/03/2021)
ΖΑΚΥΝΘΟΥ,3.612  (+88 την 11/03/2021),2.276  (+64 την 11/03/2021),1.336  (+24 την 11/03/2021)
ΦΩΚΙΔΑΣ,3.387  (+65 την 11/03/2021),2.383  (+48 την 11/03/2021),1.004  (+17 την 11/03/2021)
ΣΑΜΟΥ,3.009  (+56 την 11/03/2021),2.103  (+44 την 11/03/2021),906  (+12 την 11/03/2021)
ΣΥΡΟΥ,2.161  (+48 την 11/03/2021),1.292  (+36 την 11/03/2021),869  (+12 την 11/03/2021)
ΕΥΡΥΤΑΝΙΑΣ,2.159  (+45 την 11/03/2021),1.483  (+35 την 11/03/2021),676  (+10 την 11/03/2021)
ΚΑΛΥΜΝΟΥ,2.154  (+18 την 11/03/2021),1.446  (+7 την 11/03/2021),708  (+11 την 11/03/2021)
ΙΚΑΡΙΑΣ,2.071  (+24 την 11/03/2021),1.395  (+17 την 11/03/2021),676  (+7 την 11/03/2021)
ΛΗΜΝΟΥ,2.009  (+48 την 11/03/2021),1.233  (+48 την 11/03/2021),776
ΝΑΞΟΥ,1.276  (+30 την 11/03/2021),835  (+23 την 11/03/2021),441  (+7 την 11/03/2021)
ΘΗΡΑΣ,1.181  (+48 την 11/03/2021),811  (+47 την 11/03/2021),370  (+1 την 11/03/2021)
ΘΑΣΟΥ,868,441,427
ΚΑΡΠΑΘΟΥ,727,472,255
ΜΗΛΟΥ,687  (+12 την 11/03/2021),452  (+3 την 11/03/2021),235  (+9 την 11/03/2021)
ΣΠΟΡΑΔΩΝ,684  (+24 την 11/03/2021),437  (+24 την 11/03/2021),247
ΙΘΑΚΗΣ,653,574,79
ΠΑΡΟΥ,606,310,296
ΤΗΝΟΥ,599  (+6 την 11/03/2021),315  (+1 την 11/03/2021),284  (+5 την 11/03/2021)
ΑΝΔΡΟΥ,576  (+18 την 11/03/2021),305  (+8 την 11/03/2021),271  (+10 την 11/03/2021)
ΜΥΚΟΝΟΥ,331  (+12 την 11/03/2021),181  (+5 την 11/03/2021),150  (+7 την 11/03/2021)
ΚΕΑΣ-ΚΥΘΝΟΥ,134  (+18 την 11/03/2021),96  (+18 την 11/03/2021),38
