Περιφερειακή Ενότητα,Σύνολο εμβολιασμών,Σύνολο 1ης δόσης,Σύνολο 2ης δόσης
ΦΩΚΙΔΑΣ,3.322  (+62 την 10/03/2021),2.335  (+56 την 10/03/2021),987  (+6 την 10/03/2021)
ΣΑΜΟΥ,2.953  (+68 την 10/03/2021),2.059  (+66 την 10/03/2021),894  (+2 την 10/03/2021)
ΚΑΛΥΜΝΟΥ,2.136  (+30 την 10/03/2021),1.439  (+30 την 10/03/2021),697
ΕΥΡΥΤΑΝΙΑΣ,2.114  (+53 την 10/03/2021),1.448  (+48 την 10/03/2021),666  (+5 την 10/03/2021)
ΣΥΡΟΥ,2.113  (+42 την 10/03/2021),1.256  (+40 την 10/03/2021),857  (+2 την 10/03/2021)
ΙΚΑΡΙΑΣ,2.047  (+29 την 10/03/2021),1.378  (+29 την 10/03/2021),669
ΛΗΜΝΟΥ,1.961  (+48 την 10/03/2021),1.185  (+41 την 10/03/2021),776  (+7 την 10/03/2021)
ΝΑΞΟΥ,1.246  (+36 την 10/03/2021),812  (+35 την 10/03/2021),434  (+1 την 10/03/2021)
ΘΗΡΑΣ,1.133  (+54 την 10/03/2021),764  (+54 την 10/03/2021),369
ΘΑΣΟΥ,868,441,427
ΚΑΡΠΑΘΟΥ,727  (+18 την 10/03/2021),472  (+18 την 10/03/2021),255
ΜΗΛΟΥ,675,449,226
ΣΠΟΡΑΔΩΝ,660  (+42 την 10/03/2021),413  (+42 την 10/03/2021),247
ΙΘΑΚΗΣ,653  (+24 την 10/03/2021),574  (+23 την 10/03/2021),79  (+1 την 10/03/2021)
ΠΑΡΟΥ,606,310,296
ΤΗΝΟΥ,593,314,279
ΑΝΔΡΟΥ,558,297,261
ΜΥΚΟΝΟΥ,319,176,143
ΚΕΑΣ-ΚΥΘΝΟΥ,116  (+18 την 10/03/2021),78  (+18 την 10/03/2021),38
