Περιφερειακή Ενότητα,Σύνολο εμβολιασμών,Σύνολο 1ης δόσης,Σύνολο 2ης δόσης
ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,173.134  (+4.824 την 10/03/2021),110.275  (+3.654 την 10/03/2021),62.859  (+1.170 την 10/03/2021)
ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,160.244  (+4.317 την 10/03/2021),115.011  (+3.568 την 10/03/2021),45.233  (+749 την 10/03/2021)
ΘΕΣΣΑΛΟΝΙΚΗΣ,133.401  (+2.999 την 10/03/2021),91.009  (+2.385 την 10/03/2021),42.392  (+614 την 10/03/2021)
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,47.046  (+1.385 την 10/03/2021),29.814  (+1.215 την 10/03/2021),17.232  (+170 την 10/03/2021)
ΠΕΙΡΑΙΩΣ,46.336  (+1.459 την 10/03/2021),31.504  (+1.220 την 10/03/2021),14.832  (+239 την 10/03/2021)
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,30.190  (+1.068 την 10/03/2021),20.560  (+864 την 10/03/2021),9.630  (+204 την 10/03/2021)
ΗΡΑΚΛΕΙΟΥ,28.717  (+693 την 10/03/2021),19.212  (+547 την 10/03/2021),9.505  (+146 την 10/03/2021)
ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,28.295  (+956 την 10/03/2021),20.005  (+775 την 10/03/2021),8.290  (+181 την 10/03/2021)
ΑΧΑΪΑΣ,27.916  (+736 την 10/03/2021),18.116  (+656 την 10/03/2021),9.800  (+80 την 10/03/2021)
ΛΑΡΙΣΑΣ,24.271  (+456 την 10/03/2021),16.298  (+303 την 10/03/2021),7.973  (+153 την 10/03/2021)
ΙΩΑΝΝΙΝΩΝ,21.909  (+491 την 10/03/2021),13.931  (+317 την 10/03/2021),7.978  (+174 την 10/03/2021)
ΧΑΝΙΩΝ,19.702  (+515 την 10/03/2021),12.918  (+485 την 10/03/2021),6.784  (+30 την 10/03/2021)
ΕΥΒΟΙΑΣ,19.340  (+558 την 10/03/2021),13.529  (+506 την 10/03/2021),5.811  (+52 την 10/03/2021)
ΕΒΡΟΥ,16.882  (+449 την 10/03/2021),11.553  (+385 την 10/03/2021),5.329  (+64 την 10/03/2021)
ΠΕΛΛΑΣ,15.430  (+469 την 10/03/2021),10.076  (+380 την 10/03/2021),5.354  (+89 την 10/03/2021)
ΜΑΓΝΗΣΙΑΣ,15.075  (+479 την 10/03/2021),10.464  (+420 την 10/03/2021),4.611  (+59 την 10/03/2021)
ΜΕΣΣΗΝΙΑΣ,14.754  (+336 την 10/03/2021),9.759  (+283 την 10/03/2021),4.995  (+53 την 10/03/2021)
ΤΡΙΚΑΛΩΝ,14.481  (+344 την 10/03/2021),9.739  (+211 την 10/03/2021),4.742  (+133 την 10/03/2021)
ΚΑΡΔΙΤΣΑΣ,14.286  (+378 την 10/03/2021),10.185  (+287 την 10/03/2021),4.101  (+91 την 10/03/2021)
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,14.146  (+403 την 10/03/2021),10.077  (+330 την 10/03/2021),4.069  (+73 την 10/03/2021)
ΚΟΖΑΝΗΣ,14.069  (+422 την 10/03/2021),9.460  (+324 την 10/03/2021),4.609  (+98 την 10/03/2021)
ΣΕΡΡΩΝ,13.289  (+345 την 10/03/2021),9.852  (+286 την 10/03/2021),3.437  (+59 την 10/03/2021)
ΗΜΑΘΙΑΣ,13.195  (+373 την 10/03/2021),8.754  (+248 την 10/03/2021),4.441  (+125 την 10/03/2021)
ΚΑΒΑΛΑΣ,11.936  (+296 την 10/03/2021),7.627  (+240 την 10/03/2021),4.309  (+56 την 10/03/2021)
ΒΟΙΩΤΙΑΣ,11.805  (+396 την 10/03/2021),9.114  (+379 την 10/03/2021),2.691  (+17 την 10/03/2021)
ΦΘΙΩΤΙΔΑΣ,11.799  (+369 την 10/03/2021),8.198  (+307 την 10/03/2021),3.601  (+62 την 10/03/2021)
ΗΛΕΙΑΣ,11.748  (+362 την 10/03/2021),8.063  (+340 την 10/03/2021),3.685  (+22 την 10/03/2021)
ΛΑΣΙΘΙΟΥ,11.474  (+282 την 10/03/2021),7.476  (+264 την 10/03/2021),3.998  (+18 την 10/03/2021)
ΚΟΡΙΝΘΙΑΣ,10.739  (+314 την 10/03/2021),7.651  (+249 την 10/03/2021),3.088  (+65 την 10/03/2021)
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,10.452  (+279 την 10/03/2021),7.483  (+276 την 10/03/2021),2.969  (+3 την 10/03/2021)
ΠΙΕΡΙΑΣ,10.380  (+295 την 10/03/2021),6.381  (+212 την 10/03/2021),3.999  (+83 την 10/03/2021)
ΧΑΛΚΙΔΙΚΗΣ,9.927  (+327 την 10/03/2021),7.501  (+309 την 10/03/2021),2.426  (+18 την 10/03/2021)
ΛΑΚΩΝΙΑΣ,9.676  (+227 την 10/03/2021),6.809  (+193 την 10/03/2021),2.867  (+34 την 10/03/2021)
ΚΕΡΚΥΡΑΣ,9.610  (+317 την 10/03/2021),6.349  (+287 την 10/03/2021),3.261  (+30 την 10/03/2021)
ΚΙΛΚΙΣ,9.512  (+285 την 10/03/2021),6.537  (+276 την 10/03/2021),2.975  (+9 την 10/03/2021)
ΔΡΑΜΑΣ,9.418  (+258 την 10/03/2021),6.255  (+243 την 10/03/2021),3.163  (+15 την 10/03/2021)
ΑΡΓΟΛΙΔΑΣ,9.297  (+243 την 10/03/2021),6.365  (+222 την 10/03/2021),2.932  (+21 την 10/03/2021)
ΑΡΚΑΔΙΑΣ,9.107  (+223 την 10/03/2021),6.316  (+211 την 10/03/2021),2.791  (+12 την 10/03/2021)
ΡΕΘΥΜΝΟΥ,9.000  (+290 την 10/03/2021),6.553  (+268 την 10/03/2021),2.447  (+22 την 10/03/2021)
ΡΟΔΟΥ,8.320  (+191 την 10/03/2021),5.759  (+170 την 10/03/2021),2.561  (+21 την 10/03/2021)
ΑΡΤΑΣ,7.981  (+168 την 10/03/2021),4.910  (+96 την 10/03/2021),3.071  (+72 την 10/03/2021)
ΞΑΝΘΗΣ,7.594  (+208 την 10/03/2021),5.229  (+187 την 10/03/2021),2.365  (+21 την 10/03/2021)
ΛΕΣΒΟΥ,7.358  (+202 την 10/03/2021),4.791  (+199 την 10/03/2021),2.567  (+3 την 10/03/2021)
ΡΟΔΟΠΗΣ,6.847  (+213 την 10/03/2021),4.653  (+158 την 10/03/2021),2.194  (+55 την 10/03/2021)
ΘΕΣΠΡΩΤΙΑΣ,6.792  (+210 την 10/03/2021),4.637  (+205 την 10/03/2021),2.155  (+5 την 10/03/2021)
ΚΑΣΤΟΡΙΑΣ,6.384  (+203 την 10/03/2021),4.378  (+192 την 10/03/2021),2.006  (+11 την 10/03/2021)
ΦΛΩΡΙΝΑΣ,5.745  (+206 την 10/03/2021),4.078  (+200 την 10/03/2021),1.667  (+6 την 10/03/2021)
ΧΙΟΥ,5.737  (+144 την 10/03/2021),3.927  (+114 την 10/03/2021),1.810  (+30 την 10/03/2021)
ΚΕΦΑΛΛΗΝΙΑΣ,5.428  (+135 την 10/03/2021),3.800  (+135 την 10/03/2021),1.628
ΠΡΕΒΕΖΑΣ,5.400  (+170 την 10/03/2021),4.276  (+161 την 10/03/2021),1.124  (+9 την 10/03/2021)
ΝΗΣΩΝ,4.801  (+128 την 10/03/2021),3.118  (+122 την 10/03/2021),1.683  (+6 την 10/03/2021)
ΛΕΥΚΑΔΑΣ,4.459  (+129 την 10/03/2021),3.081  (+125 την 10/03/2021),1.378  (+4 την 10/03/2021)
ΓΡΕΒΕΝΩΝ,3.795  (+109 την 10/03/2021),2.610  (+91 την 10/03/2021),1.185  (+18 την 10/03/2021)
ΚΩ,3.770  (+92 την 10/03/2021),2.844  (+91 την 10/03/2021),926  (+1 την 10/03/2021)
ΖΑΚΥΝΘΟΥ,3.524  (+87 την 10/03/2021),2.212  (+73 την 10/03/2021),1.312  (+14 την 10/03/2021)
