Περιφερειακή Ενότητα,Σύνολο εμβολιασμών,Σύνολο 1ης δόσης,Σύνολο 2ης δόσης
ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,159.345  (+4.397 την 06/03/2021),99.728  (+3.273 την 06/03/2021),59.617  (+1.124 την 06/03/2021)
ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,147.581  (+4.029 την 06/03/2021),104.595  (+3.483 την 06/03/2021),42.986  (+546 την 06/03/2021)
ΘΕΣΣΑΛΟΝΙΚΗΣ,123.888  (+3.565 την 06/03/2021),83.634  (+2.933 την 06/03/2021),40.254  (+632 την 06/03/2021)
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,42.802  (+1.364 την 06/03/2021),26.175  (+1.064 την 06/03/2021),16.627  (+300 την 06/03/2021)
ΠΕΙΡΑΙΩΣ,42.122  (+1.329 την 06/03/2021),27.795  (+1.219 την 06/03/2021),14.327  (+110 την 06/03/2021)
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,27.144  (+968 την 06/03/2021),17.976  (+847 την 06/03/2021),9.168  (+121 την 06/03/2021)
ΗΡΑΚΛΕΙΟΥ,26.560  (+664 την 06/03/2021),17.498  (+627 την 06/03/2021),9.062  (+37 την 06/03/2021)
ΑΧΑΪΑΣ,25.715  (+711 την 06/03/2021),16.243  (+672 την 06/03/2021),9.472  (+39 την 06/03/2021)
ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,25.504  (+901 την 06/03/2021),17.690  (+704 την 06/03/2021),7.814  (+197 την 06/03/2021)
ΛΑΡΙΣΑΣ,22.711  (+550 την 06/03/2021),15.270  (+424 την 06/03/2021),7.441  (+126 την 06/03/2021)
ΙΩΑΝΝΙΝΩΝ,20.391  (+476 την 06/03/2021),12.889  (+425 την 06/03/2021),7.502  (+51 την 06/03/2021)
ΧΑΝΙΩΝ,18.087  (+523 την 06/03/2021),11.441  (+477 την 06/03/2021),6.646  (+46 την 06/03/2021)
ΕΥΒΟΙΑΣ,17.450  (+503 την 06/03/2021),11.786  (+483 την 06/03/2021),5.664  (+20 την 06/03/2021)
ΕΒΡΟΥ,15.481  (+495 την 06/03/2021),10.353  (+434 την 06/03/2021),5.128  (+61 την 06/03/2021)
ΠΕΛΛΑΣ,14.044  (+451 την 06/03/2021),8.995  (+358 την 06/03/2021),5.049  (+93 την 06/03/2021)
ΜΕΣΣΗΝΙΑΣ,13.733  (+338 την 06/03/2021),8.854  (+289 την 06/03/2021),4.879  (+49 την 06/03/2021)
ΜΑΓΝΗΣΙΑΣ,13.581  (+489 την 06/03/2021),9.205  (+381 την 06/03/2021),4.376  (+108 την 06/03/2021)
ΤΡΙΚΑΛΩΝ,13.366  (+391 την 06/03/2021),9.033  (+328 την 06/03/2021),4.333  (+63 την 06/03/2021)
ΚΑΡΔΙΤΣΑΣ,13.096  (+399 την 06/03/2021),9.254  (+381 την 06/03/2021),3.842  (+18 την 06/03/2021)
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,12.886  (+445 την 06/03/2021),9.107  (+332 την 06/03/2021),3.779  (+113 την 06/03/2021)
ΚΟΖΑΝΗΣ,12.792  (+424 την 06/03/2021),8.525  (+362 την 06/03/2021),4.267  (+62 την 06/03/2021)
ΣΕΡΡΩΝ,12.155  (+404 την 06/03/2021),8.926  (+323 την 06/03/2021),3.229  (+81 την 06/03/2021)
ΗΜΑΘΙΑΣ,12.093  (+359 την 06/03/2021),7.988  (+283 την 06/03/2021),4.105  (+76 την 06/03/2021)
ΚΑΒΑΛΑΣ,11.029  (+299 την 06/03/2021),6.916  (+234 την 06/03/2021),4.113  (+65 την 06/03/2021)
ΦΘΙΩΤΙΔΑΣ,10.655  (+361 την 06/03/2021),7.257  (+289 την 06/03/2021),3.398  (+72 την 06/03/2021)
ΗΛΕΙΑΣ,10.639  (+336 την 06/03/2021),7.010  (+315 την 06/03/2021),3.629  (+21 την 06/03/2021)
ΒΟΙΩΤΙΑΣ,10.612  (+388 την 06/03/2021),7.969  (+355 την 06/03/2021),2.643  (+33 την 06/03/2021)
ΛΑΣΙΘΙΟΥ,10.502  (+325 την 06/03/2021),6.581  (+305 την 06/03/2021),3.921  (+20 την 06/03/2021)
ΚΟΡΙΝΘΙΑΣ,9.738  (+350 την 06/03/2021),6.859  (+309 την 06/03/2021),2.879  (+41 την 06/03/2021)
ΠΙΕΡΙΑΣ,9.511  (+270 την 06/03/2021),5.792  (+211 την 06/03/2021),3.719  (+59 την 06/03/2021)
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,9.378  (+369 την 06/03/2021),6.448  (+359 την 06/03/2021),2.930  (+10 την 06/03/2021)
ΛΑΚΩΝΙΑΣ,8.918  (+258 την 06/03/2021),6.129  (+239 την 06/03/2021),2.789  (+19 την 06/03/2021)
ΧΑΛΚΙΔΙΚΗΣ,8.870  (+349 την 06/03/2021),6.509  (+324 την 06/03/2021),2.361  (+25 την 06/03/2021)
ΔΡΑΜΑΣ,8.649  (+259 την 06/03/2021),5.567  (+217 την 06/03/2021),3.082  (+42 την 06/03/2021)
ΚΕΡΚΥΡΑΣ,8.616  (+334 την 06/03/2021),5.507  (+282 την 06/03/2021),3.109  (+52 την 06/03/2021)
ΚΙΛΚΙΣ,8.572  (+318 την 06/03/2021),5.642  (+285 την 06/03/2021),2.930  (+33 την 06/03/2021)
ΑΡΓΟΛΙΔΑΣ,8.538  (+254 την 06/03/2021),5.699  (+214 την 06/03/2021),2.839  (+40 την 06/03/2021)
ΑΡΚΑΔΙΑΣ,8.392  (+223 την 06/03/2021),5.646  (+209 την 06/03/2021),2.746  (+14 την 06/03/2021)
ΡΕΘΥΜΝΟΥ,8.079  (+310 την 06/03/2021),5.689  (+295 την 06/03/2021),2.390  (+15 την 06/03/2021)
ΡΟΔΟΥ,7.698  (+268 την 06/03/2021),5.210  (+236 την 06/03/2021),2.488  (+32 την 06/03/2021)
ΑΡΤΑΣ,7.478  (+159 την 06/03/2021),4.559  (+149 την 06/03/2021),2.919  (+10 την 06/03/2021)
ΞΑΝΘΗΣ,6.932  (+215 την 06/03/2021),4.627  (+199 την 06/03/2021),2.305  (+16 την 06/03/2021)
ΛΕΣΒΟΥ,6.753  (+198 την 06/03/2021),4.196  (+192 την 06/03/2021),2.557  (+6 την 06/03/2021)
ΡΟΔΟΠΗΣ,6.205  (+206 την 06/03/2021),4.172  (+139 την 06/03/2021),2.033  (+67 την 06/03/2021)
ΘΕΣΠΡΩΤΙΑΣ,6.111  (+227 την 06/03/2021),3.972  (+223 την 06/03/2021),2.139  (+4 την 06/03/2021)
ΚΑΣΤΟΡΙΑΣ,5.775  (+207 την 06/03/2021),3.813  (+182 την 06/03/2021),1.962  (+25 την 06/03/2021)
ΧΙΟΥ,5.285  (+142 την 06/03/2021),3.580  (+113 την 06/03/2021),1.705  (+29 την 06/03/2021)
ΦΛΩΡΙΝΑΣ,5.125  (+177 την 06/03/2021),3.482  (+166 την 06/03/2021),1.643  (+11 την 06/03/2021)
ΠΡΕΒΕΖΑΣ,4.858  (+179 την 06/03/2021),3.757  (+173 την 06/03/2021),1.101  (+6 την 06/03/2021)
ΚΕΦΑΛΛΗΝΙΑΣ,4.789  (+143 την 06/03/2021),3.168  (+142 την 06/03/2021),1.621  (+1 την 06/03/2021)
ΝΗΣΩΝ,4.339  (+171 την 06/03/2021),2.673  (+165 την 06/03/2021),1.666  (+6 την 06/03/2021)
ΛΕΥΚΑΔΑΣ,4.150  (+105 την 06/03/2021),2.787  (+103 την 06/03/2021),1.363  (+2 την 06/03/2021)
ΓΡΕΒΕΝΩΝ,3.467  (+124 την 06/03/2021),2.320  (+112 την 06/03/2021),1.147  (+12 την 06/03/2021)
ΚΩ,3.449  (+103 την 06/03/2021),2.529  (+102 την 06/03/2021),920  (+1 την 06/03/2021)
ΖΑΚΥΝΘΟΥ,3.241  (+84 την 06/03/2021),1.957  (+81 την 06/03/2021),1.284  (+3 την 06/03/2021)
ΦΩΚΙΔΑΣ,3.097  (+56 την 06/03/2021),2.132  (+52 την 06/03/2021),965  (+4 την 06/03/2021)
ΣΑΜΟΥ,2.718  (+76 την 06/03/2021),1.838  (+71 την 06/03/2021),880  (+5 την 06/03/2021)
ΣΥΡΟΥ,1.975  (+48 την 06/03/2021),1.121  (+45 την 06/03/2021),854  (+3 την 06/03/2021)
ΚΑΛΥΜΝΟΥ,1.958  (+72 την 06/03/2021),1.275  (+70 την 06/03/2021),683  (+2 την 06/03/2021)
