Περιφερειακή Ενότητα,Σύνολο εμβολιασμών,Σύνολο 1ης δόσης,Σύνολο 2ης δόσης
ΕΥΡΥΤΑΝΙΑΣ,1.938  (+57 την 06/03/2021),1.286  (+55 την 06/03/2021),652  (+2 την 06/03/2021)
ΙΚΑΡΙΑΣ,1.932  (+46 την 06/03/2021),1.263  (+45 την 06/03/2021),669  (+1 την 06/03/2021)
ΛΗΜΝΟΥ,1.805  (+54 την 06/03/2021),1.044  (+46 την 06/03/2021),761  (+8 την 06/03/2021)
ΝΑΞΟΥ,1.120  (+42 την 06/03/2021),691  (+40 την 06/03/2021),429  (+2 την 06/03/2021)
ΘΗΡΑΣ,947  (+30 την 06/03/2021),593  (+23 την 06/03/2021),354  (+7 την 06/03/2021)
ΘΑΣΟΥ,868,441,427
ΚΑΡΠΑΘΟΥ,655  (+12 την 06/03/2021),404  (+12 την 06/03/2021),251
ΠΑΡΟΥ,606  (+6 την 06/03/2021),310  (+2 την 06/03/2021),296  (+4 την 06/03/2021)
ΣΠΟΡΑΔΩΝ,594  (+6 την 06/03/2021),353  (+2 την 06/03/2021),241  (+4 την 06/03/2021)
ΤΗΝΟΥ,593,314,279
ΜΗΛΟΥ,585,359,226
ΑΝΔΡΟΥ,558,297,261
ΙΘΑΚΗΣ,539  (+54 την 06/03/2021),464  (+28 την 06/03/2021),75  (+26 την 06/03/2021)
ΜΥΚΟΝΟΥ,319,176,143
ΚΕΑΣ-ΚΥΘΝΟΥ,62,46,16
