Περιφερειακή Ενότητα,Σύνολο εμβολιασμών,Σύνολο 1ης δόσης,Σύνολο 2ης δόσης
ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,163.879  (+4.534 την 08/03/2021),103.083  (+3.355 την 08/03/2021),60.796  (+1.179 την 08/03/2021)
ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,151.815  (+4.234 την 08/03/2021),107.973  (+3.378 την 08/03/2021),43.842  (+856 την 08/03/2021)
ΘΕΣΣΑΛΟΝΙΚΗΣ,127.233  (+3.345 την 08/03/2021),86.226  (+2.592 την 08/03/2021),41.007  (+753 την 08/03/2021)
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,44.219  (+1.417 την 08/03/2021),27.381  (+1.206 την 08/03/2021),16.838  (+211 την 08/03/2021)
ΠΕΙΡΑΙΩΣ,43.503  (+1.381 την 08/03/2021),29.022  (+1.227 την 08/03/2021),14.481  (+154 την 08/03/2021)
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,28.098  (+954 την 08/03/2021),18.818  (+842 την 08/03/2021),9.280  (+112 την 08/03/2021)
ΗΡΑΚΛΕΙΟΥ,27.318  (+758 την 08/03/2021),18.101  (+603 την 08/03/2021),9.217  (+155 την 08/03/2021)
ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,26.512  (+1.008 την 08/03/2021),18.513  (+823 την 08/03/2021),7.999  (+185 την 08/03/2021)
ΑΧΑΪΑΣ,26.471  (+756 την 08/03/2021),16.872  (+629 την 08/03/2021),9.599  (+127 την 08/03/2021)
ΛΑΡΙΣΑΣ,23.323  (+612 την 08/03/2021),15.683  (+413 την 08/03/2021),7.640  (+199 την 08/03/2021)
ΙΩΑΝΝΙΝΩΝ,20.928  (+537 την 08/03/2021),13.286  (+397 την 08/03/2021),7.642  (+140 την 08/03/2021)
ΧΑΝΙΩΝ,18.688  (+601 την 08/03/2021),11.987  (+546 την 08/03/2021),6.701  (+55 την 08/03/2021)
ΕΥΒΟΙΑΣ,18.101  (+651 την 08/03/2021),12.400  (+614 την 08/03/2021),5.701  (+37 την 08/03/2021)
ΕΒΡΟΥ,15.986  (+505 την 08/03/2021),10.794  (+441 την 08/03/2021),5.192  (+64 την 08/03/2021)
