Περιφερειακή Ενότητα,Σύνολο εμβολιασμών,Σύνολο 1ης δόσης,Σύνολο 2ης δόσης
ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,207.902  (+3.663 την 20/03/2021),135.864  (+3.027 την 20/03/2021),72.038  (+636 την 20/03/2021)
ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,190.455  (+3.726 την 20/03/2021),128.960  (+1.063 την 20/03/2021),61.495  (+2.663 την 20/03/2021)
ΘΕΣΣΑΛΟΝΙΚΗΣ,160.251  (+3.432 την 20/03/2021),107.391  (+1.856 την 20/03/2021),52.860  (+1.576 την 20/03/2021)
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,57.992  (+1.337 την 20/03/2021),39.050  (+1.173 την 20/03/2021),18.942  (+164 την 20/03/2021)
ΠΕΙΡΑΙΩΣ,57.885  (+1.305 την 20/03/2021),40.310  (+1.071 την 20/03/2021),17.575  (+234 την 20/03/2021)
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,37.239  (+801 την 20/03/2021),27.010  (+747 την 20/03/2021),10.229  (+54 την 20/03/2021)
ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,35.445  (+886 την 20/03/2021),25.174  (+653 την 20/03/2021),10.271  (+233 την 20/03/2021)
ΗΡΑΚΛΕΙΟΥ,34.730  (+802 την 20/03/2021),23.146  (+477 την 20/03/2021),11.584  (+325 την 20/03/2021)
ΑΧΑΪΑΣ,33.907  (+781 την 20/03/2021),22.783  (+570 την 20/03/2021),11.124  (+211 την 20/03/2021)
ΛΑΡΙΣΑΣ,28.486  (+533 την 20/03/2021),19.582  (+435 την 20/03/2021),8.904  (+98 την 20/03/2021)
ΙΩΑΝΝΙΝΩΝ,25.812  (+520 την 20/03/2021),16.412  (+354 την 20/03/2021),9.400  (+166 την 20/03/2021)
ΕΥΒΟΙΑΣ,23.360  (+412 την 20/03/2021),16.323  (+292 την 20/03/2021),7.037  (+120 την 20/03/2021)
ΧΑΝΙΩΝ,23.133  (+324 την 20/03/2021),15.703  (+242 την 20/03/2021),7.430  (+82 την 20/03/2021)
ΕΒΡΟΥ,20.408  (+482 την 20/03/2021),13.764  (+401 την 20/03/2021),6.644  (+81 την 20/03/2021)
ΜΑΓΝΗΣΙΑΣ,18.859  (+496 την 20/03/2021),13.286  (+380 την 20/03/2021),5.573  (+116 την 20/03/2021)
ΠΕΛΛΑΣ,18.491  (+351 την 20/03/2021),12.686  (+309 την 20/03/2021),5.805  (+42 την 20/03/2021)
ΜΕΣΣΗΝΙΑΣ,17.411  (+328 την 20/03/2021),11.575  (+260 την 20/03/2021),5.836  (+68 την 20/03/2021)
ΤΡΙΚΑΛΩΝ,17.358  (+378 την 20/03/2021),11.603  (+286 την 20/03/2021),5.755  (+92 την 20/03/2021)
ΚΟΖΑΝΗΣ,17.356  (+414 την 20/03/2021),11.987  (+341 την 20/03/2021),5.369  (+73 την 20/03/2021)
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,17.064  (+395 την 20/03/2021),12.340  (+344 την 20/03/2021),4.724  (+51 την 20/03/2021)
ΚΑΡΔΙΤΣΑΣ,16.831  (+318 την 20/03/2021),12.129  (+200 την 20/03/2021),4.702  (+118 την 20/03/2021)
ΗΜΑΘΙΑΣ,16.154  (+356 την 20/03/2021),10.645  (+256 την 20/03/2021),5.509  (+100 την 20/03/2021)
ΣΕΡΡΩΝ,16.105  (+369 την 20/03/2021),11.572  (+272 την 20/03/2021),4.533  (+97 την 20/03/2021)
ΦΘΙΩΤΙΔΑΣ,14.780  (+389 την 20/03/2021),10.041  (+291 την 20/03/2021),4.739  (+98 την 20/03/2021)
ΚΑΒΑΛΑΣ,14.689  (+369 την 20/03/2021),9.556  (+277 την 20/03/2021),5.133  (+92 την 20/03/2021)
ΗΛΕΙΑΣ,14.489  (+347 την 20/03/2021),10.237  (+285 την 20/03/2021),4.252  (+62 την 20/03/2021)
ΒΟΙΩΤΙΑΣ,14.345  (+292 την 20/03/2021),10.971  (+263 την 20/03/2021),3.374  (+29 την 20/03/2021)
ΛΑΣΙΘΙΟΥ,13.087  (+155 την 20/03/2021),8.569  (+124 την 20/03/2021),4.518  (+31 την 20/03/2021)
ΚΟΡΙΝΘΙΑΣ,13.006  (+278 την 20/03/2021),9.513  (+242 την 20/03/2021),3.493  (+36 την 20/03/2021)
ΠΙΕΡΙΑΣ,12.891  (+318 την 20/03/2021),8.451  (+272 την 20/03/2021),4.440  (+46 την 20/03/2021)
ΧΑΛΚΙΔΙΚΗΣ,12.246  (+252 την 20/03/2021),8.959  (+174 την 20/03/2021),3.287  (+78 την 20/03/2021)
ΚΕΡΚΥΡΑΣ,11.933  (+309 την 20/03/2021),8.430  (+280 την 20/03/2021),3.503  (+29 την 20/03/2021)
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,11.703  (+107 την 20/03/2021),8.568  (+81 την 20/03/2021),3.135  (+26 την 20/03/2021)
ΔΡΑΜΑΣ,11.420  (+231 την 20/03/2021),7.538  (+139 την 20/03/2021),3.882  (+92 την 20/03/2021)
ΚΙΛΚΙΣ,11.304  (+186 την 20/03/2021),7.581  (+138 την 20/03/2021),3.723  (+48 την 20/03/2021)
ΛΑΚΩΝΙΑΣ,11.192  (+191 την 20/03/2021),7.787  (+143 την 20/03/2021),3.405  (+48 την 20/03/2021)
ΑΡΓΟΛΙΔΑΣ,11.086  (+228 την 20/03/2021),7.809  (+153 την 20/03/2021),3.277  (+75 την 20/03/2021)
ΡΟΔΟΥ,11.041  (+270 την 20/03/2021),7.329  (+172 την 20/03/2021),3.712  (+98 την 20/03/2021)
ΑΡΚΑΔΙΑΣ,10.793  (+224 την 20/03/2021),7.710  (+180 την 20/03/2021),3.083  (+44 την 20/03/2021)
ΡΕΘΥΜΝΟΥ,10.575  (+82 την 20/03/2021),7.446  (+43 την 20/03/2021),3.129  (+39 την 20/03/2021)
ΞΑΝΘΗΣ,9.446  (+235 την 20/03/2021),6.376  (+138 την 20/03/2021),3.070  (+97 την 20/03/2021)
ΑΡΤΑΣ,9.409  (+194 την 20/03/2021),5.792  (+154 την 20/03/2021),3.617  (+40 την 20/03/2021)
ΛΕΣΒΟΥ,8.915  (+208 την 20/03/2021),6.208  (+177 την 20/03/2021),2.707  (+31 την 20/03/2021)
ΡΟΔΟΠΗΣ,8.706  (+228 την 20/03/2021),5.876  (+185 την 20/03/2021),2.830  (+43 την 20/03/2021)
ΘΕΣΠΡΩΤΙΑΣ,8.153  (+159 την 20/03/2021),5.730  (+138 την 20/03/2021),2.423  (+21 την 20/03/2021)
ΚΑΣΤΟΡΙΑΣ,8.009  (+208 την 20/03/2021),5.599  (+173 την 20/03/2021),2.410  (+35 την 20/03/2021)
ΧΙΟΥ,6.849  (+134 την 20/03/2021),4.625  (+78 την 20/03/2021),2.224  (+56 την 20/03/2021)
ΦΛΩΡΙΝΑΣ,6.762  (+54 την 20/03/2021),4.785  (+28 την 20/03/2021),1.977  (+26 την 20/03/2021)
ΠΡΕΒΕΖΑΣ,6.720  (+172 την 20/03/2021),5.313  (+155 την 20/03/2021),1.407  (+17 την 20/03/2021)
ΝΗΣΩΝ,6.150  (+132 την 20/03/2021),4.306  (+107 την 20/03/2021),1.844  (+25 την 20/03/2021)
ΚΕΦΑΛΛΗΝΙΑΣ,5.905  (+18 την 20/03/2021),4.135  (+12 την 20/03/2021),1.770  (+6 την 20/03/2021)
ΛΕΥΚΑΔΑΣ,5.083  (+70 την 20/03/2021),3.452  (+52 την 20/03/2021),1.631  (+18 την 20/03/2021)
ΓΡΕΒΕΝΩΝ,4.677  (+108 την 20/03/2021),3.183  (+80 την 20/03/2021),1.494  (+28 την 20/03/2021)
ΚΩ,4.537  (+35 την 20/03/2021),3.300  (+31 την 20/03/2021),1.237  (+4 την 20/03/2021)
ΖΑΚΥΝΘΟΥ,4.220  (+86 την 20/03/2021),2.705  (+76 την 20/03/2021),1.515  (+10 την 20/03/2021)
ΦΩΚΙΔΑΣ,3.781  (+48 την 20/03/2021),2.612  (+33 την 20/03/2021),1.169  (+15 την 20/03/2021)
ΣΑΜΟΥ,3.445  (+56 την 20/03/2021),2.485  (+46 την 20/03/2021),960  (+10 την 20/03/2021)
ΣΥΡΟΥ,2.724  (+90 την 20/03/2021),1.811  (+89 την 20/03/2021),913  (+1 την 20/03/2021)
ΚΑΛΥΜΝΟΥ,2.546  (+94 την 20/03/2021),1.555  (+18 την 20/03/2021),991  (+76 την 20/03/2021)
ΕΥΡΥΤΑΝΙΑΣ,2.429  (+12 την 20/03/2021),1.694  (+4 την 20/03/2021),735  (+8 την 20/03/2021)
ΛΗΜΝΟΥ,2.367  (+49 την 20/03/2021),1.557  (+43 την 20/03/2021),810  (+6 την 20/03/2021)
ΙΚΑΡΙΑΣ,2.266  (+116 την 20/03/2021),1.450  (+9 την 20/03/2021),816  (+107 την 20/03/2021)
ΜΗΛΟΥ,1.435  (+81 την 20/03/2021),1.143  (+80 την 20/03/2021),292  (+1 την 20/03/2021)
ΘΗΡΑΣ,1.373  (+54 την 20/03/2021),977  (+52 την 20/03/2021),396  (+2 την 20/03/2021)
ΝΑΞΟΥ,1.354,892,462
ΙΘΑΚΗΣ,966  (+60 την 20/03/2021),776,190  (+60 την 20/03/2021)
ΘΑΣΟΥ,892  (+12 την 20/03/2021),446  (+4 την 20/03/2021),446  (+8 την 20/03/2021)
ΣΠΟΡΑΔΩΝ,786,496,290
ΚΑΡΠΑΘΟΥ,749,478,271
ΤΗΝΟΥ,635,325,310
ΠΑΡΟΥ,624,314,310
ΑΝΔΡΟΥ,612,316,296
ΚΕΑΣ-ΚΥΘΝΟΥ,397  (+71 την 20/03/2021),359  (+71 την 20/03/2021),38
ΜΥΚΟΝΟΥ,355  (+6 την 20/03/2021),189  (+1 την 20/03/2021),166  (+5 την 20/03/2021)
