Περιφερειακή Ενότητα,Σύνολο εμβολιασμών,Σύνολο 1ης δόσης,Σύνολο 2ης δόσης
ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,204.239  (+4.041 την 19/03/2021),132.837  (+3.142 την 19/03/2021),71.402  (+899 την 19/03/2021)
ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,186.729  (+4.598 την 19/03/2021),127.897  (+1.587 την 19/03/2021),58.832  (+3.011 την 19/03/2021)
ΘΕΣΣΑΛΟΝΙΚΗΣ,156.819  (+3.628 την 19/03/2021),105.535  (+2.042 την 19/03/2021),51.284  (+1.586 την 19/03/2021)
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,56.655  (+1.377 την 19/03/2021),37.877  (+1.164 την 19/03/2021),18.778  (+213 την 19/03/2021)
ΠΕΙΡΑΙΩΣ,56.580  (+1.505 την 19/03/2021),39.239  (+1.102 την 19/03/2021),17.341  (+403 την 19/03/2021)
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,36.438  (+895 την 19/03/2021),26.263  (+808 την 19/03/2021),10.175  (+87 την 19/03/2021)
ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,34.559  (+892 την 19/03/2021),24.521  (+692 την 19/03/2021),10.038  (+200 την 19/03/2021)
ΗΡΑΚΛΕΙΟΥ,33.928  (+813 την 19/03/2021),22.669  (+516 την 19/03/2021),11.259  (+297 την 19/03/2021)
ΑΧΑΪΑΣ,33.126  (+754 την 19/03/2021),22.213  (+596 την 19/03/2021),10.913  (+158 την 19/03/2021)
ΛΑΡΙΣΑΣ,27.953  (+529 την 19/03/2021),19.147  (+467 την 19/03/2021),8.806  (+62 την 19/03/2021)
ΙΩΑΝΝΙΝΩΝ,25.292  (+465 την 19/03/2021),16.058  (+325 την 19/03/2021),9.234  (+140 την 19/03/2021)
ΕΥΒΟΙΑΣ,22.948  (+493 την 19/03/2021),16.031  (+387 την 19/03/2021),6.917  (+106 την 19/03/2021)
ΧΑΝΙΩΝ,22.809  (+315 την 19/03/2021),15.461  (+235 την 19/03/2021),7.348  (+80 την 19/03/2021)
ΕΒΡΟΥ,19.926  (+429 την 19/03/2021),13.363  (+274 την 19/03/2021),6.563  (+155 την 19/03/2021)
ΜΑΓΝΗΣΙΑΣ,18.363  (+481 την 19/03/2021),12.906  (+338 την 19/03/2021),5.457  (+143 την 19/03/2021)
ΠΕΛΛΑΣ,18.140  (+330 την 19/03/2021),12.377  (+285 την 19/03/2021),5.763  (+45 την 19/03/2021)
ΜΕΣΣΗΝΙΑΣ,17.083  (+318 την 19/03/2021),11.315  (+264 την 19/03/2021),5.768  (+54 την 19/03/2021)
ΤΡΙΚΑΛΩΝ,16.980  (+362 την 19/03/2021),11.317  (+275 την 19/03/2021),5.663  (+87 την 19/03/2021)
ΚΟΖΑΝΗΣ,16.942  (+408 την 19/03/2021),11.646  (+331 την 19/03/2021),5.296  (+77 την 19/03/2021)
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,16.669  (+370 την 19/03/2021),11.996  (+338 την 19/03/2021),4.673  (+32 την 19/03/2021)
ΚΑΡΔΙΤΣΑΣ,16.513  (+283 την 19/03/2021),11.929  (+224 την 19/03/2021),4.584  (+59 την 19/03/2021)
ΗΜΑΘΙΑΣ,15.798  (+386 την 19/03/2021),10.389  (+293 την 19/03/2021),5.409  (+93 την 19/03/2021)
ΣΕΡΡΩΝ,15.736  (+350 την 19/03/2021),11.300  (+236 την 19/03/2021),4.436  (+114 την 19/03/2021)
ΦΘΙΩΤΙΔΑΣ,14.391  (+370 την 19/03/2021),9.750  (+222 την 19/03/2021),4.641  (+148 την 19/03/2021)
ΚΑΒΑΛΑΣ,14.320  (+377 την 19/03/2021),9.279  (+315 την 19/03/2021),5.041  (+62 την 19/03/2021)
ΗΛΕΙΑΣ,14.142  (+344 την 19/03/2021),9.952  (+276 την 19/03/2021),4.190  (+68 την 19/03/2021)
ΒΟΙΩΤΙΑΣ,14.053  (+266 την 19/03/2021),10.708  (+235 την 19/03/2021),3.345  (+31 την 19/03/2021)
ΛΑΣΙΘΙΟΥ,12.932  (+174 την 19/03/2021),8.445  (+118 την 19/03/2021),4.487  (+56 την 19/03/2021)
ΚΟΡΙΝΘΙΑΣ,12.728  (+263 την 19/03/2021),9.271  (+232 την 19/03/2021),3.457  (+31 την 19/03/2021)
ΠΙΕΡΙΑΣ,12.573  (+324 την 19/03/2021),8.179  (+279 την 19/03/2021),4.394  (+45 την 19/03/2021)
ΧΑΛΚΙΔΙΚΗΣ,11.994  (+267 την 19/03/2021),8.785  (+187 την 19/03/2021),3.209  (+80 την 19/03/2021)
ΚΕΡΚΥΡΑΣ,11.624  (+259 την 19/03/2021),8.150  (+239 την 19/03/2021),3.474  (+20 την 19/03/2021)
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,11.596  (+92 την 19/03/2021),8.487  (+70 την 19/03/2021),3.109  (+22 την 19/03/2021)
ΔΡΑΜΑΣ,11.189  (+255 την 19/03/2021),7.399  (+191 την 19/03/2021),3.790  (+64 την 19/03/2021)
ΚΙΛΚΙΣ,11.118  (+177 την 19/03/2021),7.443  (+109 την 19/03/2021),3.675  (+68 την 19/03/2021)
ΛΑΚΩΝΙΑΣ,11.001  (+183 την 19/03/2021),7.644  (+152 την 19/03/2021),3.357  (+31 την 19/03/2021)
ΑΡΓΟΛΙΔΑΣ,10.858  (+226 την 19/03/2021),7.656  (+199 την 19/03/2021),3.202  (+27 την 19/03/2021)
ΡΟΔΟΥ,10.771  (+247 την 19/03/2021),7.157  (+153 την 19/03/2021),3.614  (+94 την 19/03/2021)
ΑΡΚΑΔΙΑΣ,10.569  (+191 την 19/03/2021),7.530  (+157 την 19/03/2021),3.039  (+34 την 19/03/2021)
ΡΕΘΥΜΝΟΥ,10.493  (+137 την 19/03/2021),7.403  (+42 την 19/03/2021),3.090  (+95 την 19/03/2021)
ΑΡΤΑΣ,9.215  (+182 την 19/03/2021),5.638  (+149 την 19/03/2021),3.577  (+33 την 19/03/2021)
ΞΑΝΘΗΣ,9.211  (+232 την 19/03/2021),6.238  (+157 την 19/03/2021),2.973  (+75 την 19/03/2021)
ΛΕΣΒΟΥ,8.707  (+184 την 19/03/2021),6.031  (+169 την 19/03/2021),2.676  (+15 την 19/03/2021)
ΡΟΔΟΠΗΣ,8.478  (+253 την 19/03/2021),5.691  (+188 την 19/03/2021),2.787  (+65 την 19/03/2021)
ΘΕΣΠΡΩΤΙΑΣ,7.994  (+149 την 19/03/2021),5.592  (+123 την 19/03/2021),2.402  (+26 την 19/03/2021)
ΚΑΣΤΟΡΙΑΣ,7.801  (+200 την 19/03/2021),5.426  (+159 την 19/03/2021),2.375  (+41 την 19/03/2021)
ΧΙΟΥ,6.715  (+127 την 19/03/2021),4.547  (+83 την 19/03/2021),2.168  (+44 την 19/03/2021)
ΦΛΩΡΙΝΑΣ,6.708  (+112 την 19/03/2021),4.757  (+85 την 19/03/2021),1.951  (+27 την 19/03/2021)
ΠΡΕΒΕΖΑΣ,6.548  (+155 την 19/03/2021),5.158  (+140 την 19/03/2021),1.390  (+15 την 19/03/2021)
ΝΗΣΩΝ,6.018  (+218 την 19/03/2021),4.199  (+191 την 19/03/2021),1.819  (+27 την 19/03/2021)
ΚΕΦΑΛΛΗΝΙΑΣ,5.887  (+19 την 19/03/2021),4.123  (+8 την 19/03/2021),1.764  (+11 την 19/03/2021)
ΛΕΥΚΑΔΑΣ,5.013  (+57 την 19/03/2021),3.400  (+42 την 19/03/2021),1.613  (+15 την 19/03/2021)
ΓΡΕΒΕΝΩΝ,4.569  (+126 την 19/03/2021),3.103  (+90 την 19/03/2021),1.466  (+36 την 19/03/2021)
ΚΩ,4.502  (+33 την 19/03/2021),3.269  (+21 την 19/03/2021),1.233  (+12 την 19/03/2021)
ΖΑΚΥΝΘΟΥ,4.134  (+104 την 19/03/2021),2.629  (+100 την 19/03/2021),1.505  (+4 την 19/03/2021)
ΦΩΚΙΔΑΣ,3.733  (+54 την 19/03/2021),2.579  (+38 την 19/03/2021),1.154  (+16 την 19/03/2021)
ΣΑΜΟΥ,3.389  (+56 την 19/03/2021),2.439  (+44 την 19/03/2021),950  (+12 την 19/03/2021)
ΣΥΡΟΥ,2.634  (+91 την 19/03/2021),1.722  (+88 την 19/03/2021),912  (+3 την 19/03/2021)
ΚΑΛΥΜΝΟΥ,2.452  (+211 την 19/03/2021),1.537  (+40 την 19/03/2021),915  (+171 την 19/03/2021)
ΕΥΡΥΤΑΝΙΑΣ,2.417  (+24 την 19/03/2021),1.690  (+20 την 19/03/2021),727  (+4 την 19/03/2021)
ΛΗΜΝΟΥ,2.318  (+54 την 19/03/2021),1.514  (+49 την 19/03/2021),804  (+5 την 19/03/2021)
ΙΚΑΡΙΑΣ,2.150  (+6 την 19/03/2021),1.441,709  (+6 την 19/03/2021)
ΜΗΛΟΥ,1.354  (+325 την 19/03/2021),1.063  (+325 την 19/03/2021),291
ΝΑΞΟΥ,1.354  (+6 την 19/03/2021),892,462  (+6 την 19/03/2021)
ΘΗΡΑΣ,1.319  (+36 την 19/03/2021),925  (+32 την 19/03/2021),394  (+4 την 19/03/2021)
ΙΘΑΚΗΣ,906,776,130
ΘΑΣΟΥ,880,442,438
ΣΠΟΡΑΔΩΝ,786  (+12 την 19/03/2021),496  (+8 την 19/03/2021),290  (+4 την 19/03/2021)
ΚΑΡΠΑΘΟΥ,749  (+6 την 19/03/2021),478,271  (+6 την 19/03/2021)
ΤΗΝΟΥ,635,325,310
ΠΑΡΟΥ,624,314,310
ΑΝΔΡΟΥ,612,316,296
ΜΥΚΟΝΟΥ,349,188,161
ΚΕΑΣ-ΚΥΘΝΟΥ,326  (+30 την 19/03/2021),288  (+30 την 19/03/2021),38
