Περιφερειακή Ενότητα,Σύνολο εμβολιασμών,Σύνολο 1ης δόσης,Σύνολο 2ης δόσης
ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,187.267  (+4.532 την 13/03/2021),120.934  (+3.427 την 13/03/2021),66.333  (+1.105 την 13/03/2021)
ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,170.281  (+2.179 την 13/03/2021),122.165  (+1.786 την 13/03/2021),48.116  (+393 την 13/03/2021)
ΘΕΣΣΑΛΟΝΙΚΗΣ,142.222  (+2.943 την 13/03/2021),97.502  (+2.159 την 13/03/2021),44.720  (+784 την 13/03/2021)
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,51.194  (+1.352 την 13/03/2021),33.380  (+1.154 την 13/03/2021),17.814  (+198 την 13/03/2021)
ΠΕΙΡΑΙΩΣ,50.678  (+1.420 την 13/03/2021),35.028  (+1.142 την 13/03/2021),15.650  (+278 την 13/03/2021)
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,33.043  (+879 την 13/03/2021),23.140  (+838 την 13/03/2021),9.903  (+41 την 13/03/2021)
ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,31.142  (+899 την 13/03/2021),22.191  (+717 την 13/03/2021),8.951  (+182 την 13/03/2021)
ΗΡΑΚΛΕΙΟΥ,30.823  (+716 την 13/03/2021),20.709  (+502 την 13/03/2021),10.114  (+214 την 13/03/2021)
ΑΧΑΪΑΣ,30.140  (+745 την 13/03/2021),19.933  (+619 την 13/03/2021),10.207  (+126 την 13/03/2021)
ΛΑΡΙΣΑΣ,25.687  (+460 την 13/03/2021),17.213  (+347 την 13/03/2021),8.474  (+113 την 13/03/2021)
ΙΩΑΝΝΙΝΩΝ,23.359  (+492 την 13/03/2021),14.926  (+357 την 13/03/2021),8.433  (+135 την 13/03/2021)
ΧΑΝΙΩΝ,21.270  (+513 την 13/03/2021),14.359  (+479 την 13/03/2021),6.911  (+34 την 13/03/2021)
ΕΥΒΟΙΑΣ,20.892  (+471 την 13/03/2021),14.686  (+347 την 13/03/2021),6.206  (+124 την 13/03/2021)
ΕΒΡΟΥ,18.227  (+485 την 13/03/2021),12.505  (+301 την 13/03/2021),5.722  (+184 την 13/03/2021)
ΠΕΛΛΑΣ,16.733  (+444 την 13/03/2021),11.131  (+380 την 13/03/2021),5.602  (+64 την 13/03/2021)
ΜΑΓΝΗΣΙΑΣ,16.481  (+460 την 13/03/2021),11.565  (+344 την 13/03/2021),4.916  (+116 την 13/03/2021)
ΜΕΣΣΗΝΙΑΣ,15.755  (+335 την 13/03/2021),10.378  (+191 την 13/03/2021),5.377  (+144 την 13/03/2021)
ΤΡΙΚΑΛΩΝ,15.489  (+323 την 13/03/2021),10.266  (+179 την 13/03/2021),5.223  (+144 την 13/03/2021)
ΚΟΖΑΝΗΣ,15.365  (+435 την 13/03/2021),10.466  (+357 την 13/03/2021),4.899  (+78 την 13/03/2021)
ΚΑΡΔΙΤΣΑΣ,15.305  (+318 την 13/03/2021),10.907  (+261 την 13/03/2021),4.398  (+57 την 13/03/2021)
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,15.264  (+380 την 13/03/2021),10.889  (+267 την 13/03/2021),4.375  (+113 την 13/03/2021)
ΣΕΡΡΩΝ,14.338  (+360 την 13/03/2021),10.513  (+195 την 13/03/2021),3.825  (+165 την 13/03/2021)
ΗΜΑΘΙΑΣ,14.335  (+380 την 13/03/2021),9.435  (+200 την 13/03/2021),4.900  (+180 την 13/03/2021)
ΒΟΙΩΤΙΑΣ,12.935  (+374 την 13/03/2021),10.017  (+271 την 13/03/2021),2.918  (+103 την 13/03/2021)
ΦΘΙΩΤΙΔΑΣ,12.933  (+378 την 13/03/2021),8.959  (+241 την 13/03/2021),3.974  (+137 την 13/03/2021)
ΚΑΒΑΛΑΣ,12.874  (+312 την 13/03/2021),8.282  (+210 την 13/03/2021),4.592  (+102 την 13/03/2021)
ΗΛΕΙΑΣ,12.805  (+352 την 13/03/2021),8.971  (+298 την 13/03/2021),3.834  (+54 την 13/03/2021)
ΛΑΣΙΘΙΟΥ,12.166  (+178 την 13/03/2021),8.019  (+141 την 13/03/2021),4.147  (+37 την 13/03/2021)
ΚΟΡΙΝΘΙΑΣ,11.644  (+313 την 13/03/2021),8.331  (+227 την 13/03/2021),3.313  (+86 την 13/03/2021)
ΠΙΕΡΙΑΣ,11.270  (+299 την 13/03/2021),7.070  (+257 την 13/03/2021),4.200  (+42 την 13/03/2021)
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,11.092  (+211 την 13/03/2021),8.072  (+198 την 13/03/2021),3.020  (+13 την 13/03/2021)
ΧΑΛΚΙΔΙΚΗΣ,10.812  (+261 την 13/03/2021),8.224  (+203 την 13/03/2021),2.588  (+58 την 13/03/2021)
ΚΕΡΚΥΡΑΣ,10.542  (+340 την 13/03/2021),7.156  (+302 την 13/03/2021),3.386  (+38 την 13/03/2021)
ΛΑΚΩΝΙΑΣ,10.266  (+191 την 13/03/2021),7.043  (+61 την 13/03/2021),3.223  (+130 την 13/03/2021)
ΚΙΛΚΙΣ,10.255  (+222 την 13/03/2021),7.122  (+170 την 13/03/2021),3.133  (+52 την 13/03/2021)
ΔΡΑΜΑΣ,10.226  (+280 την 13/03/2021),6.822  (+169 την 13/03/2021),3.404  (+111 την 13/03/2021)
ΑΡΓΟΛΙΔΑΣ,9.995  (+262 την 13/03/2021),6.945  (+215 την 13/03/2021),3.050  (+47 την 13/03/2021)
ΑΡΚΑΔΙΑΣ,9.798  (+252 την 13/03/2021),6.959  (+241 την 13/03/2021),2.839  (+11 την 13/03/2021)
ΡΕΘΥΜΝΟΥ,9.789  (+233 την 13/03/2021),7.216  (+177 την 13/03/2021),2.573  (+56 την 13/03/2021)
ΡΟΔΟΥ,9.497  (+571 την 13/03/2021),6.509  (+265 την 13/03/2021),2.988  (+306 την 13/03/2021)
ΑΡΤΑΣ,8.486  (+187 την 13/03/2021),5.141  (+80 την 13/03/2021),3.345  (+107 την 13/03/2021)
ΞΑΝΘΗΣ,8.250  (+226 την 13/03/2021),5.722  (+158 την 13/03/2021),2.528  (+68 την 13/03/2021)
ΛΕΣΒΟΥ,7.965  (+202 την 13/03/2021),5.366  (+200 την 13/03/2021),2.599  (+2 την 13/03/2021)
ΡΟΔΟΠΗΣ,7.512  (+231 την 13/03/2021),5.057  (+128 την 13/03/2021),2.455  (+103 την 13/03/2021)
ΘΕΣΠΡΩΤΙΑΣ,7.367  (+177 την 13/03/2021),5.164  (+163 την 13/03/2021),2.203  (+14 την 13/03/2021)
ΚΑΣΤΟΡΙΑΣ,7.013  (+209 την 13/03/2021),4.880  (+153 την 13/03/2021),2.133  (+56 την 13/03/2021)
ΦΛΩΡΙΝΑΣ,6.286  (+171 την 13/03/2021),4.508  (+127 την 13/03/2021),1.778  (+44 την 13/03/2021)
ΧΙΟΥ,6.223  (+145 την 13/03/2021),4.287  (+115 την 13/03/2021),1.936  (+30 την 13/03/2021)
